If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Apple Releases First Preview of Swift 3.0 for Developers,Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Twitter faz atualização em seu aplicativo Fabric para trazer mais funcionalidades às empresas e aos desenvolvedores de apps - Startupi,Ordering coffee in Italy: the 10 commandments,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
Supercharge Java Auth with JSON Web Tokens (JWTs) | Baeldung,Java Microservices: The Cake is a Lie but You Can't Ignore It | Takipi Blog,Cubr,Client-side ranking to more efficiently show people stories in feed,"Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems",Serverless Data Sync in Web Apps with Bit Torrent
Multi-Channel Marketing in 2015 - It's not rocket science.,AEM 6.1 Package Manager Metadata Files,Quando usar paginação e quando usar scroll infinito?,Why the customer experience matters,Machine Learning Is Redefining The Enterprise In 2016,Lentes de contato inteligentes serão o wearable definitivo
5 Unique Features Of Google Compute Engine That No IaaS Provider Could Match,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,Google lags behind Amazon and Microsoft's cloud in one important area,Kubernetes,Spark comparison: AWS vs. GCP,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog"
71 erros de português que precisam sumir dos seus e-mails,This Super Accurate Portrait Selection Tech Uses Neural Networks,Ordering coffee in Italy: the 10 commandments,Netflix emociona com vídeo destacando personagens LGBT,Shopping app Spring's redesign could be a game-changer,The barbell effect of machine learning.
"contentId
319340024738595907    MITSUBISHI ASX 2.0 4X4 AWD 16V GASOLINA 4P AUT...
319340024738595907    MITSUBISHI ASX 2.0 4X4 AWD 16V GASOLINA 4P AUT...
Name: title, dtype: object",Lists are the new search,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet",The barbell effect of machine learning.,Up your app's sharing game with DirectShare - Google Developers,This Super Accurate Portrait Selection Tech Uses Neural Networks
Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,Apple Releases First Preview of Swift 3.0 for Developers,Alecrim/AlecrimCoreData,Google may be considering Swift for use on Android,19 Tips For Everyday Git Use,Calm down: Google's use of Material Design on iOS is fine
A nova sede da LEGO na Dinamarca é toda sobre colaboração,Branding é problema seu. E meu.,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,The Internet of Things is looking for its VisiCalc,A identidade visual de Budapeste para as Olimpíadas de 2024,Time to Re-Think Design Thinking
DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO,The Drive to Bank on Digital,Bose's New Speaker Only Costs $150 But You Have to Build It Yourself,Alecrim/AlecrimCoreData,Android Developers Summer Reading List,"Amazon open-sources its own deep learning software, DSSTNE"
O tênue equilíbrio da equipe que desenha produtos digitais,Meet the new Brazilian consumer,Accenture amplia atuação no Brasil,The economic essentials of digital strategy,Mobile marketing statistics 2016,Especial: O papel dos grandes provedores de TI na Rio 2016
Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,9 Non-Threatening Leadership Strategies for Women,Neural networks are inadvertently learning our language's hidden gender biases,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção"
Most Interesting APIs in 2016: Cognitive Computing,15 Awesome Sublime Text Plugins For Web Development,How to build cross-platform mobile apps using nothing more than a JSON markup,Machine Learning Is No Longer Just for Experts,Chatbots: Are they better without the chat?,Modelando APIs REST com Swagger
Google researchers teach AIs to see the important parts of images - and tell you about them,Making open source data more available,A New Number Format for Computers Could Nuke Approximation Errors for Good,Artificial intelligence produces realistic sounds that fool humans,"Hello, TensorFlow!",Google's Cloud Machine Learning service is now in public beta
Apenas US$ 59: Nintendo anuncia o relançamento do Nintendinho com 30 jogos na memória,Aplicativos do Android agora podem reagir com o ambiente | Google Discovery,Iniciando com o Docker: Criando suas próprias imagens - Tableless,"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",Here's proof that Google is getting serious about battling Facebook in a key area,The real reasons you procrastinate - and how to stop
Why porting an iOS design to Android will not work,Alecrim/AlecrimCoreData,Building more accessible technology,Up your app's sharing game with DirectShare - Google Developers,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Designing smart notifications
Scrum Community - Scrum Alliance,Slack and Google announce partnership focused on better integrating their services,What makes a good (Android) Software Engineer,Mastercard lança plataforma de APIs abertas para soluções de pagamentos - Startupi,Prisma for Android is now live for all in the Google Play Store,Top Programming Languages Trends: The Rise of Big Data
Mastering Bash and Terminal,When to make a Git Commit,Don't document your code. Code your documentation.,Seniority,How to build cross-platform mobile apps using nothing more than a JSON markup,What's the Best Programming Language to Learn in 2017?
How This Former Google Engineer Is Bringing Blockchain to Banks,"Within a Decade, Retail Banks will be Dead",The future of the shopping mall,MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,Five questions boards should ask about IT in a digital world,The Future of Digital Banking is Now
AI Is Here to Help You Write Emails People Will Actually Read,Why Deep Learning Is Suddenly Changing Your Life,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",5 reasons your employees aren't sharing their knowledge,Text summarization with TensorFlow,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack"
Git Large File Storage (Git LFS) now in Bitbucket Cloud - Bitbucket,Docker 1.12: Now with Built-in Orchestration!,Sobre o Hipsters Ponto Tech,Serverless Architectures,"A whole new GitHub Universe: announcing new tools, forums, and features",System Code Geeks are giving away a FREE Sublime Text Editor License
Duolingo's chatbots help you learn a new language,Chatbots: Are they better without the chat?,Machine Learning Is No Longer Just for Experts,Modelando APIs REST com Swagger,How to build cross-platform mobile apps using nothing more than a JSON markup,15 Awesome Sublime Text Plugins For Web Development
Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com,Micro Profile JavaEE com Wildfly Swarm,"Incrível, Skype se lembrou que o Linux existe!","Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",Why Kubernetes may be a bigger threat to Amazon than Google's cloud - TechRepublic,Eclipse Foundation Releases Neon
Labelling automated builds on Docker Hub - Microscaling Systems,Client-side ranking to more efficiently show people stories in feed,Salesforce Architect Journey,Cloud Native Part 1: Definition,Seniority,Most Interesting APIs in 2016: Cognitive Computing
Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,"If women in tech stop apologizing, we might just be able to shut the sexist shit down. - Athena Talks",Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,#Sentaquelávemtextão,"Meet Bozoma Saint John, the Apple executive who stole the show at WWDC",Google employees are adding 'Lady' to their job titles to fight sexism
"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,#Sentaquelávemtextão,"Meet Bozoma Saint John, the Apple executive who stole the show at WWDC","If women in tech stop apologizing, we might just be able to shut the sexist shit down. - Athena Talks",Google employees are adding 'Lady' to their job titles to fight sexism
​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet,Containers are not VMs,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro",Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,A New Number Format for Computers Could Nuke Approximation Errors for Good
Powering a more connected and collaborative enterprise,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery",Acesse a versão Material Design do YouTube | Google Discovery,Google's Cloud Machine Learning service is now in public beta,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack"
So you want to sell to banks?,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,The surprising truth about which countries lead in digital,The Drive to Bank on Digital,MOBILE TIME - Youse: seguradora digital se diferencia através da interface móvel
O que você deve fazer para se tornar um líder melhor?,What Science Tells Us About Leadership Potential,"Ser um bom líder depende de inúmeros fatores. Mas um deles, segundo o inglês Simon Sinek, é importantíssimo: a coragem para proteger as equipes e para arriscar quando necessário",Cinco competências comportamentais para você ser um bom líder,How to augment your career with leadership coaching,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil
Infográfico: Algoritmos para Aprendizado de Máquina,The brilliant mechanics of Pokémon Go,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","How I built an app with 500,000 users in 5 days on a $100 server",Transfer Style But Not Color
Burger King aceita pedidos via mensagens no Facebook - Startupi,Alecrim/AlecrimCoreData,Google's Cloud Machine Learning service is now in public beta,Aplicação de visão computacional com OpenCV,How to Design a Walkthrough That Users Will Read,Google Cloud Platform's preemptible VMs are now up to 33% cheaper
"Inovador, Nubank ganha prêmio no Vale do Silício | EXAME.com","No, Apple isn't the next BlackBerry - it's the next Microsoft","Welcome to GoogleBank, Facebook Bank, Amazon Bank, and Apple Bank - Enrique Dans","Microsoft adquire LinkedIn por US$ 26,2 bilhões",Mobile marketing statistics 2016,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem"
Tasting Dagger 2 on Android,Client-side ranking to more efficiently show people stories in feed,Building interfaces with ConstraintLayout - Google Developers,Criando ícones animados no Android,Samsung lança dispositivo para deixar carro conectado a partir de chip 4G - Link - Estadão,The Java 8 API Design Principles
Slack and Google announce partnership focused on better integrating their services,Scrum Community - Scrum Alliance,Prisma for Android is now live for all in the Google Play Store,Mastercard lança plataforma de APIs abertas para soluções de pagamentos - Startupi,Progressive Web App - first introduced on Google I/O | airberlin,Google cloud boss Diane Greene: We're winning against AWS and Microsoft
Elasticsearch: CSV exporter for Kibana Discover,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com,Gartner Reprint,Google is testing a new Material Design layout for desktop searches,Top Programming Languages Trends: The Rise of Big Data,What to Inspect When You are Inspecting!
Este é o melhor jeito de entender como as mulheres sofrem machismo na área de TI,Introducing Ask a Female Engineer,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia",#Sentaquelávemtextão,A importância dos filmes de mulherzinha - Capitolina,Criadas para casar
Seria Stranger Things uma obra de arte do algoritmo da Netflix?,Google acquires deep search engine Kifi to enhance its Spaces group chat app,Designing smart notifications,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",5 reasons your employees aren't sharing their knowledge,Lists are the new search
"Como o e-commerce brasileiro pode, enfim, começar a lucrar",Não existe frete grátis!,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Pão de Açúcar tem rombo de R$ 512 milhões com fraude em e-commerce
Assista a entrevista de Linus Torvalds no TED legendada,BDD Best Practices and Guidelines - Testing Excellence,Google's Cloud Machine Learning service is now in public beta,Deputada mais jovem da Câmara silencia o plenário com lucidez do discurso (veja o vídeo),Google researchers teach AIs to see the important parts of images - and tell you about them,"Hello, TensorFlow!"
Lists are the new search,This Super Accurate Portrait Selection Tech Uses Neural Networks,Up your app's sharing game with DirectShare - Google Developers,Artificial intelligence is changing SEO faster than you think,Ordering coffee in Italy: the 10 commandments,Designing smart notifications
Porto Seguro compra carteira de seguros Auto da Chubb,Ranking das maiores seguradoras da Europa - 2015 | Sonho Seguro,Jeff Seguros: SEGUROS E GAMES,Liberty vai adotar telemetria e baratear seguro para bons motoristas,Transforming life insurance with design thinking,PwC faz virada digital e já fatura US$ 1 bilhão no mundo
Evernote anuncia integração com Google Drive | Google Discovery,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery",Google Cloud Goes to the Farm,Here's proof that Google is getting serious about battling Facebook in a key area,Aplicativos do Android agora podem reagir com o ambiente | Google Discovery,Inbox by Gmail ganha formatação de texto | Google Discovery
Internet of Things Drives Outcome-Based Business Models,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",Standing on the Shoulders of Giants - Built to Adapt,Building Spring Cloud Microservices That Strangle Legacy Systems,Samsung lança dispositivo para deixar carro conectado a partir de chip 4G - Link - Estadão
Peças Translúcidas,How to finish 3D printed PLA objects,Lentes de contato inteligentes serão o wearable definitivo,Alecrim/AlecrimCoreData,Building more accessible technology,Front in BH 2016
Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,"No dia das mães, Avon lança campanha com mãe de jovem gay",O homofóbico dentro de cada um,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer
"Google acquires Synergyse, an interactive training service for Google Apps","Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Wide & Deep Learning: Better Together with TensorFlow,5 reasons your employees aren't sharing their knowledge,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel"
Johnson & Johnson comprará grupo suíço por US$ 30 bi,Dries Buytaert,Dries Distributions remain a growing opportunity for Drupal - Buytaert,Who sponsors Drupal development? | Dries Buytaert,Why Is Learning Drupal Hard?,Johnson & Johnson compra líder global em dermocosméticos | EXAME.com
The brilliant mechanics of Pokémon Go,Angular 2 versus React: There Will Be Blood - Free Code Camp,Serverless real-time architecture on AWS: there is a way !,How Do Top Android Developers QA Test Their Apps?,Docker e .Net,Pull request first - Practical Blend
Eclipse Foundation Releases Neon,Transfer Style But Not Color,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com,CSS Containment in Chrome 52 | Web Updates - Google Developers,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",Serverless Architectures
Machine Learning Is Redefining The Enterprise In 2016,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,The AI business landscape,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","Hello, TensorFlow!"
The future of the shopping mall,The surprising truth about which countries lead in digital,Can Accenture Take Over Advertising?,Latin America's chronic inefficiency could drive more O2O commerce growth,Usability Heuristics for Bots - Chatbots Magazine,MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo
One Dollar Board: Um projeto brasileiro para revolucionar a educação,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,11 Internet of Things (IoT) Protocols You Need to Know About,1º Congresso Brasileiro de IoT - Embarcados,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,Raspberry Pi with cloud vision at Google I/O - Raspberry Pi
What is WebAssembly? The Dawn of a New Era - JavaScript Scene,Alecrim/AlecrimCoreData,The Physical Web,Progressive Web App - first introduced on Google I/O | airberlin,"GitHub broke my 1,000 day streak - Free Code Camp",Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design
Don't document your code. Code your documentation.,When to make a Git Commit,"What do you mean by ""Event-Driven""?",Mastering Bash and Terminal,Java 8 Streams : 10 missing features,"Spanner, the Google Database That Mastered Time, Is Now Open to Everyone"
Spark comparison: AWS vs. GCP,Google's Cloud Machine Learning service is now in public beta,Google lags behind Amazon and Microsoft's cloud in one important area,5 Unique Features Of Google Compute Engine That No IaaS Provider Could Match,Test and deploy to Google App Engine with the new Maven and Gradle plugins,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests
New Amazon Linux Container Image for Cloud and On-Premises Workloads,Kubernetes,Java 8 Streams : 10 missing features,LPIC-OT DevOps Engineer | Linux Professional Institute,What to Inspect When You are Inspecting!,Alecrim/AlecrimCoreData
Testes unitários vs aceitação - Android Dev BR,Top 5 Android Testing Frameworks with Examples,The Future of Digital Banking is Now,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro",Criando ícones animados no Android,Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor
"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Promoting gender equality through emoji �� ��,#iLookLikeAnEngineer: One Year Later,Criadas para casar,Google employees are adding 'Lady' to their job titles to fight sexism,Workplace diversity in Brazil: there's still a long way to go
Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,Blaise Agüera y Arcas: How computers are learning to be creative,Google researchers teach AIs to see the important parts of images - and tell you about them,The return of the machinery question,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,"Hello, TensorFlow!"
Rating the English Proficiency of Countries and Industries Around the World,Top 30 Commonly Confused Words in English,Build Quality In: The Key to Continuous Delivery in Kanban,Investimentos em coaching e mentoring aumentam nas empresas,Dries Distributions remain a growing opportunity for Drupal - Buytaert,New settings for 2-Step Verification
Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,"No ""Altas Horas"", garoto filho de casal homoafetivo dá lição contra a homofobia","No dia das mães, Avon lança campanha com mãe de jovem gay",Netflix emociona com vídeo destacando personagens LGBT,O homofóbico dentro de cada um,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss"
Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,"Applying the Linus Torvalds ""Good Taste"" Coding Requirement",Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br"
WeChat's world,A digital crack in banking's business model,Accidental discovery could help batteries last years longer,"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",The rise of APIs,The End Of Apps As We Know Them - Inside Intercom
Como resolver conflitos no ambiente corporativo us,Cinco competências comportamentais para você ser um bom líder,Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Digital Health Coaching,How to augment your career with leadership coaching
55 fornecedores de TI que apresentarão novidades no Ciab 2016,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,Mobile Time,The surprising truth about which countries lead in digital,The economic essentials of digital strategy,MOBILE TIME - Youse: seguradora digital se diferencia através da interface móvel
Top 5 Android Testing Frameworks with Examples,How Do Top Android Developers QA Test Their Apps?,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,Testes unitários vs aceitação - Android Dev BR,Developing Android unit and instrumentation tests - Tutorial,Building Spring Cloud Microservices That Strangle Legacy Systems
"Fresco, sim! - Android Dev BR",Android Developers Summer Reading List,StrictMode for Runtime Analysis on Android - Google Developers,Programação Reativa Funcional com RxJava,Android irá recomendar aplicativos baseado na localização | Google Discovery,Creating Compound Views on Android
Mobile Time,The economic essentials of digital strategy,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,55 fornecedores de TI que apresentarão novidades no Ciab 2016,Accenture amplia atuação no Brasil,Meio&Mensagem
O dia em que tive mais medo de estar errada.,#Sentaquelávemtextão,Para entender o Dia Internacional contra a Homofobia,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files","The code that took America to the moon was just published to GitHub, and it's like a 1960s time capsule",Google employees are adding 'Lady' to their job titles to fight sexism
Cinco competências essenciais ao IT Leaders - CIO,Assessing Salesforce's platform and ecosystem | ZDNet,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic",Visa lança desafio para startups de tecnologia - Startupi,You won't recognize the new world of digital payments without this report,Is FinTech Forcing Banking to a Tipping Point?
Hype Driven Development,The Ten Commandments of Egoless Programming,On DRY and the cost of wrongful abstractions,Standing on the Shoulders of Giants - Built to Adapt,Using Microservices Architecture as API Enablement Strategy,Cubr
What Apple's differential privacy means for your data and the future of machine learning,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet",The barbell effect of machine learning.,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",Joel on Software,Up your app's sharing game with DirectShare - Google Developers
9 Non-Threatening Leadership Strategies for Women,Neural networks are inadvertently learning our language's hidden gender biases,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,O dia em que tive mais medo de estar errada.,#Sentaquelávemtextão,"Little girls doubt that women can be brilliant, study shows"
Diane Greene wants to put the enterprise front and center of Google Cloud strategy,The economic essentials of digital strategy,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,Inbox by Gmail ganha formatação de texto | Google Discovery,Is FinTech Forcing Banking to a Tipping Point?
Introducing Ask a Female Engineer,Este é o melhor jeito de entender como as mulheres sofrem machismo na área de TI,#Sentaquelávemtextão,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Neural networks are inadvertently learning our language's hidden gender biases
Google vai reduzir em 50% consumo de memória do Chrome | Google Discovery,Advanced Android Espresso,The technology behind preview photos,"Applying the Linus Torvalds ""Good Taste"" Coding Requirement",Olli: Artificial Intelligence for the real world of connected commuting,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR"
Serverless real-time architecture on AWS: there is a way !,Angular 2 versus React: There Will Be Blood - Free Code Camp,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,What Color is Your Function?,The Continuous Delivery Maturity Model,JavaScript Conquered the Web. Now It's Taking Over the Desktop
Creating value in auto finance with vLendRight | Kevin Moseri,Goodbye accountants! Startup builds AI to automate all your accounting,Visa Introduces NFC-Enabled Payment Ring for Team Visa Sponsored Athletes to Use at Rio 2016 Olympic Games,big data = real time,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio
"Welcome to GoogleBank, Facebook Bank, Amazon Bank, and Apple Bank - Enrique Dans",Governo brasileiro cria manual para contratação de cloud,"Inovador, Nubank ganha prêmio no Vale do Silício | EXAME.com",Mobile marketing statistics 2016,7 Questions to Ask Before Your Next Digital Transformation,The rise of APIs
Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,"No dia das mães, Avon lança campanha com mãe de jovem gay","TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer
"Applying the Linus Torvalds ""Good Taste"" Coding Requirement",Google vai reduzir em 50% consumo de memória do Chrome | Google Discovery,Exploring Java's Hidden Costs,Internet of Things Drives Outcome-Based Business Models,Combining Spring Boot and JDBI,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack
Designer Creates 13 Perfect Circles to Draw Almost Any Animal,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",A identidade visual de Budapeste para as Olimpíadas de 2024,"curso de branding, diferenciação e estratégia de marca",Branding é problema seu. E meu.,"Google launches Springboard, an AI-powered assistant for its enterprise customers"
"Forget The Internet Of Things, There Is A Digital Revolution Taking Place In Our Shopping Malls",As compras e os hábitos dos brasileiros no shopping | EXAME.com,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Não existe frete grátis!,The surprising truth about which countries lead in digital,From E-Commerce to Web 3.0: Let the Bots Do the Shopping
"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss","No dia das mães, Avon lança campanha com mãe de jovem gay",O homofóbico dentro de cada um,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito
Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,Como Usar o Git e o GitHub,Dicas avançadas de ruby (capybara/cucumber),Sua comunidade de Teste.,BDD Best Practices and Guidelines - Testing Excellence,Agile: Falta competência nos testes
Meio&Mensagem,Meet the new Brazilian consumer,Mobile Time,The new tech talent you need to succeed in digital,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,The economic essentials of digital strategy
"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,You don't talk about refactoring club,"Kotlin in Production - What works, Whats broken",Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com,"""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise"
Migrating from Parse to Bluemix,StrictMode for Runtime Analysis on Android - Google Developers,Serverless Data Sync in Web Apps with Bit Torrent,Message buttons and the Slack API - Slack Platform Blog,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",Building Flipkart Lite: A Progressive Web App
How to build cross-platform mobile apps using nothing more than a JSON markup,Machine Learning Is No Longer Just for Experts,Duolingo's chatbots help you learn a new language,15 Awesome Sublime Text Plugins For Web Development,Chatbots: Are they better without the chat?,15 minutos sobre Docker
The Best Linux Distros of 2016,Deputada mais jovem da Câmara silencia o plenário com lucidez do discurso (veja o vídeo),Criando ícones animados no Android,Alecrim/AlecrimCoreData,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com,Chrome OS now has Material Design for the desktop
Docker e .Net,Angular 2 versus React: There Will Be Blood - Free Code Camp,Pull request first - Practical Blend,Serverless real-time architecture on AWS: there is a way !,The brilliant mechanics of Pokémon Go,Progressive Web App - first introduced on Google I/O | airberlin
Lean IT is all about people - o Lean na TI é focado em pessoas,Digital Health Coaching,Qual é o valor da área de T&D na sua empresa?,Investimentos em coaching e mentoring aumentam nas empresas,"Ser um bom líder depende de inúmeros fatores. Mas um deles, segundo o inglês Simon Sinek, é importantíssimo: a coragem para proteger as equipes e para arriscar quando necessário",How to augment your career with leadership coaching
How Do Top Android Developers QA Test Their Apps?,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,Top 5 Android Testing Frameworks with Examples,Building Spring Cloud Microservices That Strangle Legacy Systems,Creating Compound Views on Android,Developing Android unit and instrumentation tests - Tutorial
The Continuous Delivery Maturity Model,Serverless real-time architecture on AWS: there is a way !,What Color is Your Function?,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,JavaScript Conquered the Web. Now It's Taking Over the Desktop,Sam Newman - Backends For Frontends
"""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise",The hardest thing in computer science,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",You don't talk about refactoring club,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley'
How Netflix does A/B Testing - uxdesign.cc - User Experience Design,It's The Future,The AI business landscape,"Secret's founder returns with Bold, a Medium for enterprise",Designing smart notifications,Ray Kurzweil: The world isn't getting worse - our information is getting better
Android Mobile Vision restores operation and adds Text API | Android Developers Blog,StrictMode for Runtime Analysis on Android - Google Developers,Building interfaces with ConstraintLayout - Google Developers,"A whole new GitHub Universe: announcing new tools, forums, and features",Micro Profile JavaEE com Wildfly Swarm,Scrum Community - Scrum Alliance
Using DiffUtil in Android RecyclerView,My experience with Google's Associate Android Developer Certification,Advanced Android Espresso,Criando ícones animados no Android,Listas com RecyclerView - Android Dev BR,Programação Reativa Funcional com RxJava
